Middleware Name    | Namespace
-------------------|-------------
dashboard-auth     | traefik
oauth2-auth        | arr
oauth2-auth        | default
oauth2-auth        | oauth2-proxy
oauth2-errors      | arr
oauth2-errors      | oauth2-proxy
redirect-to-https  | oauth2-proxy
redirect-to-https  | traefik
replace-path       | arr
