[/Volumes/arrdata/media/music/AC_DC/Stiff Upper Lip (2014)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/Stiff Upper Lip (2014) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/Stiff Upper Lip (2014)"
[/Volumes/arrdata/media/music/AC_DC/The Razors Edge (2009)] LOG: No files imported from /Volumes/arrdata/media/music/AC_DC/The Razors Edge (2009) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/AC_DC/The Razors Edge (2009)"
[/Volumes/arrdata/media/music/Afric Simon/Discoradio Collection Vol 3 - CD2] LOG: No files imported from /Volumes/arrdata/media/music/Afric Simon/Discoradio Collection Vol 3 - CD2 | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Afric Simon/Discoradio Collection Vol 3 - CD2"
[/Volumes/arrdata/media/music/Agnes Baltsa, Ferruccio Furlanetto_ Herb/Mozart_ Don Giovanni (Highlights)] LOG: No files imported from /Volumes/arrdata/media/music/Agnes Baltsa, Ferruccio Furlanetto_ Herb/Mozart_ Don Giovanni (Highlights) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Agnes Baltsa, Ferruccio Furlanetto_ Herb/Mozart_ Don Giovanni (Highlights)"
[/Volumes/arrdata/media/music/Agnes Baltsa, Samuel Ramey_ Herbert Von/Mozart_ Don Giovanni (Highlights)] LOG: No files imported from /Volumes/arrdata/media/music/Agnes Baltsa, Samuel Ramey_ Herbert Von/Mozart_ Don Giovanni (Highlights) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Agnes Baltsa, Samuel Ramey_ Herbert Von/Mozart_ Don Giovanni (Highlights)"
[/Volumes/arrdata/media/music/Aisha Duo/Quiet Songs] LOG: No files imported from /Volumes/arrdata/media/music/Aisha Duo/Quiet Songs | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Aisha Duo/Quiet Songs"
[/Volumes/arrdata/media/music/Akon Feat. 2Pac/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. 2Pac/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. 2Pac/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon Feat. Black Rob/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. Black Rob/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. Black Rob/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon Feat. Don Yute/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. Don Yute/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. Don Yute/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon Feat. Kardinal Offishall/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. Kardinal Offishall/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. Kardinal Offishall/A Star Is Born-Hosted By DJ E_"
